Czêstotliwoœæ,Impedancja Rzeczywista,Impedancja Urojona
1.0,146.28571428571428,0.0
1.4736842105263157,122.26865671641791,0.0
1.9473684210526314,180.04395604395606,0.0
2.4210526315789473,225.98620689655172,0.0
2.894736842105263,123.65283018867925,0.0
3.3684210526315788,75.1559633027523,0.0
3.8421052631578947,104.35668789808918,0.0
4.315789473684211,138.26160337552741,0.0
4.789473684210526,78.01904761904763,0.0
5.263157894736842,221.40540540540542,0.0
5.7368421052631575,72.49557522123894,0.0
6.2105263157894735,51.68454258675079,0.0
6.684210526315789,65.93158953722335,0.0
7.157894736842105,73.8018018018018,0.0
7.63157894736842,53.718032786885246,0.0
8.105263157894736,89.04347826086956,0.0
8.578947368421051,190.51162790697674,0.0
9.052631578947368,80.70935960591133,0.0
9.526315789473683,19.751657625075346,0.0
10.0,24.6190833959429,0.0
